ident,name,coordinates,iso_country,iata_code
00A,Total Rf Heliport,"-74.93360138, 40.07080078",US,
00AK,Lowell Field,"-151.6959991, 59.94919968",US,
00AL,Epps Airpark,"-86.77030182, 34.8647995",US,
00AR,Newport Hospital & Clinic Heliport,"-91.25489807, 35.6086998",US,
00AZ,Cordes Airport,"-112.1650009, 34.30559921",US,
00CA,Goldstone /Gts/ Airport,"-116.8880005, 35.3504982",US,
00CO,Cass Field,"-104.3440018, 40.62220001",US,
00FA,Grass Patch Airport,"-82.21900177, 28.64550018",US,
00FD,Ringhaver Heliport,"-82.34539795, 28.84659958",US,
00FL,River Oak Airport,"-80.96920013, 27.23089981",US,
00GA,Lt World Airport,"-84.06829834, 33.76750183",US,
00GE,Caffrey Heliport,"-84.73390198, 33.88420105",US,
00HI,Kaupulehu Heliport,"-155.9819946, 19.83250046",US,
00ID,Delta Shores Airport,"-116.2139969, 48.14530182",US,
00II,Bailey Generation Station Heliport,"-87.12280273, 41.64450073",US,
00IL,Hammer Airport,"-89.56040192, 41.97840118",US,
00IN,St Mary Medical Center Heliport,"-87.26059723, 41.51139832",US,
00IS,Hayenga's Cant Find Farms Airport,"-89.12290192, 40.02560043",US,
00KS,Hayden Farm Airport,"-94.93049622, 38.72779846",US,
00KY,Robbins Roost Airport,"-84.61969757, 37.40940094",US,
00LA,Shell Chemical East Site Heliport,"-90.980833, 30.191944",US,
00LL,Ac & R Components Heliport,"-89.70559692, 39.66529846",US,
00LS,Lejeune Airport,"-92.42939758, 30.13629913",US,
00MD,Slater Field,"-75.75379944, 38.75709915",US,
00MI,Dow Chemical Heliport,"-86.41670227, 43.94940186",US,
00MN,Battle Lake Municipal Airport,"-95.70030212, 46.29999924",US,
00MO,Cooper Flying Service Airport,"-94.41239929, 37.20280075",US,
00MT,Sands Ranch Airport,"-109.7050018, 48.53749847",US,
00N,Bucks Airport,"-75.18520355, 39.47320175",US,
00NC,North Raleigh Airport,"-78.37139893, 36.08520126",US,
00NJ,Colgate-Piscataway Heliport,"-74.47460175, 40.52090073",US,
00NY,Weiss Airfield,"-77.49970245, 42.90010071",US,
00OH,Exit 3 Airport,"-84.14219666, 41.59090042",US,
00OI,Miami Valley Hospital Heliport,"-84.18740082, 39.74530029",US,
00OR,Steel Systems Heliport,"-123.1299973, 44.93289948",US,
00PA,R J D Heliport,"-75.74690247, 39.94889832",US,
00PN,Ferrell Field,"-80.211111, 41.2995",US,
00PS,Thomas Field,"-77.36530304, 40.37779999",US,
00S,Mc Kenzie Bridge State Airport,"-122.0889969, 44.18320084",US,
00SC,Flying O Airport,"-80.26719666, 34.00939941",US,
00TA,Sw Region Faa Heliport,"-97.30580139, 32.82690048",US,
00TE,Tcjc-Northeast Campus Heliport,"-97.1894989, 32.84759903",US,
00TN,Ragsdale Road Airport,"-85.95359802, 35.51589966",US,
00TS,Alpine Range Airport,"-97.24199677, 32.60760117",US,
00TX,San Jacinto Methodist Hospital Heliport,"-94.98020172, 29.73769951",US,
00UT,Clear Creek Ranch Airport,"-112.8219986, 37.24779892",US,
00VA,Vaughan Airport,"-78.9991684, 36.57600021",US,
00VI,Groundhog Mountain Airport,"-80.49949646, 36.66329956",US,
00W,Lower Granite State Airport,"-117.4430008, 46.67350006",US,
00WA,Howell Airport,"-122.7720032, 47.17839813",US,
00WI,Northern Lite Airport,"-89.05010223, 44.3042984",US,
00WN,Hawks Run Airport,"-117.2490005, 46.25",US,
00WV,Lazy J. Aerodrome,"-79.8660965, 38.82889938",US,
00XS,L P Askew Farms Airport,"-101.9339981, 33.03340149",US,
01A,Purkeypile Airport,"-152.2700043, 62.9435997",US,
01AK,Providence Seward Medical Center Heliport,"-149.446249, 60.10587398",US,
01AL,Ware Island Airport,"-86.51390076, 32.94599915",US,
01AR,Community Hospital of De Queen Heliport,"-94.35489655, 34.04729843",US,
01AZ,Yat Heliport,"-111.8649979, 34.60810089",US,
01C,Grant Airport,"-85.77500153, 43.34170151",US,
01CA,Lugo Substation Heliport,"-117.3700587, 34.36824059",US,
01CL,Swansboro Country Airport,"-120.7340012, 38.79990005",US,
01CN,Los Angeles County Sheriff's Department Heliport,"-118.1539993, 34.03779984",US,
01CO,St Vincent General Hospital Heliport,"-106.2460022, 39.24530029",US,
01CT,Berlin Fairgrounds Heliport,"-72.72750092, 41.62730026",US,
01FA,Rybolt Ranch Airport,"-81.14420319, 28.58939934",US,
01FD,Florida Hospital-Altamonte Heliport,"-81.37059784, 28.66640091",US,
01FL,Cedar Knoll Flying Ranch Airport,"-81.15920258, 28.78190041",US,
01GA,Medical Center Heliport,"-84.97910309, 32.47930145",US,
01GE,The Farm Airport,"-82.77110291, 32.67440033",US,
01IA,Stender Airport,"-90.74130249, 41.66109848",US,
01ID,Lava Hot Springs Airport,"-112.0319977, 42.60820007",US,
01II,Myers Field,"-86.50669861, 39.88499832",US,
01IL,Hoopeston Community Memorial Hospital Heliport,"-87.65950012, 40.45859909",US,
01IN,Community Hospital Heliport,"-85.69580078, 40.13090134",US,
